"Første vacc. dato","regionskode_current","Regionsnavn","Antal første vacc.","regionskode_num"
2021-01-22,1082,Midtjylland,167,1082
2021-01-22,1083,Syddanmark,144,1083
2021-01-22,1084,Hovedstaden,45,1084
2021-01-22,1085,Sjælland,132,1085
2021-01-23,1081,Nordjylland,59,1081
2021-01-23,1082,Midtjylland,93,1082
2021-01-23,1083,Syddanmark,1,1083
2021-01-23,1084,Hovedstaden,542,1084
2021-01-23,1085,Sjælland,26,1085
2021-01-24,1081,Nordjylland,20,1081
2021-01-24,1082,Midtjylland,75,1082
2021-01-24,1083,Syddanmark,2,1083
2021-01-24,1084,Hovedstaden,473,1084
2021-01-24,1085,Sjælland,20,1085
2021-01-25,1081,Nordjylland,23,1081
2021-01-25,1082,Midtjylland,9,1082
2021-01-25,1083,Syddanmark,140,1083
2021-01-25,1084,Hovedstaden,48,1084
2021-01-25,1085,Sjælland,55,1085
2021-01-26,1081,Nordjylland,2,1081
2021-01-26,1082,Midtjylland,8,1082
2021-01-26,1083,Syddanmark,96,1083
2021-01-26,1084,Hovedstaden,12,1084
2021-01-26,1085,Sjælland,91,1085
2021-01-27,1081,Nordjylland,1,1081
2021-01-27,1082,Midtjylland,29,1082
2021-01-27,1083,Syddanmark,83,1083
2021-01-27,1084,Hovedstaden,13,1084
2021-01-27,1085,Sjælland,75,1085
2021-01-28,1081,Nordjylland,22,1081
2021-01-28,1082,Midtjylland,11,1082
2021-01-28,1083,Syddanmark,35,1083
2021-01-28,1084,Hovedstaden,14,1084
2021-01-28,1085,Sjælland,135,1085
2021-01-29,1081,Nordjylland,63,1081
2021-01-29,1082,Midtjylland,278,1082
2021-01-29,1083,Syddanmark,69,1083
2021-01-29,1084,Hovedstaden,428,1084
2021-01-29,1085,Sjælland,248,1085
2021-01-30,1081,Nordjylland,66,1081
2021-01-30,1082,Midtjylland,178,1082
2021-01-30,1083,Syddanmark,121,1083
2021-01-30,1084,Hovedstaden,403,1084
2021-01-30,1085,Sjælland,411,1085
2021-01-31,1081,Nordjylland,97,1081
2021-01-31,1082,Midtjylland,411,1082
2021-01-31,1083,Syddanmark,139,1083
2021-01-31,1084,Hovedstaden,317,1084
2021-01-31,1085,Sjælland,215,1085
2021-02-01,1081,Nordjylland,94,1081
2021-02-01,1082,Midtjylland,89,1082
2021-02-01,1083,Syddanmark,200,1083
2021-02-01,1084,Hovedstaden,56,1084
2021-02-01,1085,Sjælland,307,1085
2021-02-02,1081,Nordjylland,16,1081
2021-02-02,1082,Midtjylland,76,1082
2021-02-02,1083,Syddanmark,523,1083
2021-02-02,1084,Hovedstaden,48,1084
2021-02-02,1085,Sjælland,1318,1085
2021-02-03,1081,Nordjylland,4,1081
2021-02-03,1082,Midtjylland,22,1082
2021-02-03,1083,Syddanmark,427,1083
2021-02-03,1084,Hovedstaden,46,1084
2021-02-03,1085,Sjælland,1005,1085
2021-02-04,1081,Nordjylland,859,1081
2021-02-04,1082,Midtjylland,44,1082
2021-02-04,1083,Syddanmark,347,1083
2021-02-04,1084,Hovedstaden,48,1084
2021-02-04,1085,Sjælland,101,1085
2021-02-05,1081,Nordjylland,777,1081
2021-02-05,1082,Midtjylland,288,1082
2021-02-05,1083,Syddanmark,221,1083
2021-02-05,1084,Hovedstaden,30,1084
2021-02-05,1085,Sjælland,241,1085
2021-02-06,1081,Nordjylland,365,1081
2021-02-06,1082,Midtjylland,17,1082
2021-02-06,1083,Syddanmark,71,1083
2021-02-06,1084,Hovedstaden,323,1084
2021-02-06,1085,Sjælland,225,1085
2021-02-07,1081,Nordjylland,710,1081
2021-02-07,1082,Midtjylland,16,1082
2021-02-07,1083,Syddanmark,98,1083
2021-02-07,1084,Hovedstaden,106,1084
2021-02-07,1085,Sjælland,938,1085
2021-02-08,1081,Nordjylland,572,1081
2021-02-08,1082,Midtjylland,225,1082
2021-02-08,1083,Syddanmark,573,1083
2021-02-08,1084,Hovedstaden,1003,1084
2021-02-08,1085,Sjælland,129,1085
2021-02-09,1081,Nordjylland,67,1081
2021-02-09,1082,Midtjylland,509,1082
2021-02-09,1083,Syddanmark,892,1083
2021-02-09,1084,Hovedstaden,1491,1084
2021-02-09,1085,Sjælland,548,1085
2021-02-10,1081,Nordjylland,54,1081
2021-02-10,1082,Midtjylland,774,1082
2021-02-10,1083,Syddanmark,1003,1083
2021-02-10,1084,Hovedstaden,506,1084
2021-02-10,1085,Sjælland,921,1085
2021-02-11,1081,Nordjylland,460,1081
2021-02-11,1082,Midtjylland,635,1082
2021-02-11,1083,Syddanmark,1229,1083
2021-02-11,1084,Hovedstaden,1560,1084
2021-02-11,1085,Sjælland,1788,1085
2021-02-12,1081,Nordjylland,1269,1081
2021-02-12,1082,Midtjylland,4629,1082
2021-02-12,1083,Syddanmark,1892,1083
2021-02-12,1084,Hovedstaden,1473,1084
2021-02-12,1085,Sjælland,2791,1085
2021-02-13,1081,Nordjylland,7,1081
2021-02-13,1082,Midtjylland,2651,1082
2021-02-13,1083,Syddanmark,1125,1083
2021-02-13,1084,Hovedstaden,54,1084
2021-02-13,1085,Sjælland,2681,1085
2021-02-14,1081,Nordjylland,258,1081
2021-02-14,1082,Midtjylland,1652,1082
2021-02-14,1083,Syddanmark,2182,1083
2021-02-14,1084,Hovedstaden,271,1084
2021-02-14,1085,Sjælland,1830,1085
2021-02-15,1081,Nordjylland,143,1081
2021-02-15,1082,Midtjylland,4352,1082
2021-02-15,1083,Syddanmark,2606,1083
2021-02-15,1084,Hovedstaden,4041,1084
2021-02-15,1085,Sjælland,2586,1085
2021-02-16,1081,Nordjylland,194,1081
2021-02-16,1082,Midtjylland,3685,1082
2021-02-16,1083,Syddanmark,1974,1083
2021-02-16,1084,Hovedstaden,4533,1084
2021-02-16,1085,Sjælland,2766,1085
2021-02-17,1081,Nordjylland,1271,1081
2021-02-17,1082,Midtjylland,2405,1082
2021-02-17,1083,Syddanmark,2295,1083
2021-02-17,1084,Hovedstaden,1136,1084
2021-02-17,1085,Sjælland,3292,1085
2021-02-18,1081,Nordjylland,1868,1081
2021-02-18,1082,Midtjylland,2174,1082
2021-02-18,1083,Syddanmark,2024,1083
2021-02-18,1084,Hovedstaden,3653,1084
2021-02-18,1085,Sjælland,1716,1085
2021-02-19,1081,Nordjylland,2124,1081
2021-02-19,1082,Midtjylland,3308,1082
2021-02-19,1083,Syddanmark,3274,1083
2021-02-19,1084,Hovedstaden,3559,1084
2021-02-19,1085,Sjælland,1554,1085
2021-02-20,1081,Nordjylland,2555,1081
2021-02-20,1082,Midtjylland,1094,1082
2021-02-20,1083,Syddanmark,2482,1083
2021-02-20,1084,Hovedstaden,2894,1084
2021-02-20,1085,Sjælland,1396,1085
2021-02-21,1081,Nordjylland,1748,1081
2021-02-21,1082,Midtjylland,1040,1082
2021-02-21,1083,Syddanmark,2905,1083
2021-02-21,1084,Hovedstaden,3196,1084
2021-02-21,1085,Sjælland,1833,1085
2021-02-22,1081,Nordjylland,788,1081
2021-02-22,1082,Midtjylland,3510,1082
2021-02-22,1083,Syddanmark,3731,1083
2021-02-22,1084,Hovedstaden,3641,1084
2021-02-22,1085,Sjælland,1778,1085
2021-02-23,1081,Nordjylland,396,1081
2021-02-23,1082,Midtjylland,5211,1082
2021-02-23,1083,Syddanmark,3163,1083
2021-02-23,1084,Hovedstaden,3639,1084
2021-02-23,1085,Sjælland,1914,1085
2021-02-24,1081,Nordjylland,592,1081
2021-02-24,1082,Midtjylland,3667,1082
2021-02-24,1083,Syddanmark,3113,1083
2021-02-24,1084,Hovedstaden,4389,1084
2021-02-24,1085,Sjælland,1892,1085
2021-02-25,1081,Nordjylland,1963,1081
2021-02-25,1082,Midtjylland,2106,1082
2021-02-25,1083,Syddanmark,2771,1083
2021-02-25,1084,Hovedstaden,6189,1084
2021-02-25,1085,Sjælland,1466,1085
2021-02-26,1081,Nordjylland,5355,1081
2021-02-26,1082,Midtjylland,8582,1082
2021-02-26,1083,Syddanmark,8758,1083
2021-02-26,1084,Hovedstaden,8942,1084
2021-02-26,1085,Sjælland,4286,1085
2021-02-27,1081,Nordjylland,9,1081
2021-02-27,1082,Midtjylland,685,1082
2021-02-27,1083,Syddanmark,1982,1083
2021-02-27,1084,Hovedstaden,3103,1084
2021-02-27,1085,Sjælland,854,1085
2021-02-28,1081,Nordjylland,2225,1081
2021-02-28,1082,Midtjylland,980,1082
2021-02-28,1083,Syddanmark,2038,1083
2021-02-28,1084,Hovedstaden,4776,1084
2021-02-28,1085,Sjælland,898,1085
2021-03-01,1081,Nordjylland,2656,1081
2021-03-01,1082,Midtjylland,4467,1082
2021-03-01,1083,Syddanmark,3762,1083
2021-03-01,1084,Hovedstaden,6234,1084
2021-03-01,1085,Sjælland,2557,1085
2021-03-02,1081,Nordjylland,759,1081
2021-03-02,1082,Midtjylland,4821,1082
2021-03-02,1083,Syddanmark,3010,1083
2021-03-02,1084,Hovedstaden,6720,1084
2021-03-02,1085,Sjælland,1362,1085
2021-03-03,1081,Nordjylland,739,1081
2021-03-03,1082,Midtjylland,3014,1082
2021-03-03,1083,Syddanmark,2927,1083
2021-03-03,1084,Hovedstaden,4474,1084
2021-03-03,1085,Sjælland,1813,1085
2021-03-04,1081,Nordjylland,505,1081
2021-03-04,1082,Midtjylland,3693,1082
2021-03-04,1083,Syddanmark,3063,1083
2021-03-04,1084,Hovedstaden,8152,1084
2021-03-04,1085,Sjælland,2004,1085
2021-03-05,1081,Nordjylland,3908,1081
2021-03-05,1082,Midtjylland,2083,1082
2021-03-05,1083,Syddanmark,4047,1083
2021-03-05,1084,Hovedstaden,4733,1084
2021-03-05,1085,Sjælland,1796,1085
2021-03-06,1081,Nordjylland,2144,1081
2021-03-06,1082,Midtjylland,1198,1082
2021-03-06,1083,Syddanmark,3150,1083
2021-03-06,1084,Hovedstaden,6169,1084
2021-03-06,1085,Sjælland,1926,1085
2021-03-07,1081,Nordjylland,1380,1081
2021-03-07,1082,Midtjylland,213,1082
2021-03-07,1083,Syddanmark,2623,1083
2021-03-07,1084,Hovedstaden,6124,1084
2021-03-07,1085,Sjælland,1660,1085
2021-03-08,1081,Nordjylland,129,1081
2021-03-08,1082,Midtjylland,4022,1082
2021-03-08,1083,Syddanmark,2890,1083
2021-03-08,1084,Hovedstaden,1304,1084
2021-03-08,1085,Sjælland,1229,1085
2021-03-09,1081,Nordjylland,649,1081
2021-03-09,1082,Midtjylland,4200,1082
2021-03-09,1083,Syddanmark,2097,1083
2021-03-09,1084,Hovedstaden,2490,1084
2021-03-09,1085,Sjælland,1452,1085
2021-03-10,1081,Nordjylland,1173,1081
2021-03-10,1082,Midtjylland,2927,1082
2021-03-10,1083,Syddanmark,3056,1083
2021-03-10,1084,Hovedstaden,3035,1084
2021-03-10,1085,Sjælland,1857,1085
2021-03-11,1081,Nordjylland,950,1081
2021-03-11,1082,Midtjylland,1030,1082
2021-03-11,1083,Syddanmark,1181,1083
2021-03-11,1084,Hovedstaden,602,1084
2021-03-11,1085,Sjælland,793,1085
2021-03-12,1081,Nordjylland,264,1081
2021-03-12,1082,Midtjylland,770,1082
2021-03-12,1083,Syddanmark,1022,1083
2021-03-12,1084,Hovedstaden,1015,1084
2021-03-12,1085,Sjælland,274,1085
2021-03-13,1081,Nordjylland,145,1081
2021-03-13,1082,Midtjylland,346,1082
2021-03-13,1083,Syddanmark,1235,1083
2021-03-13,1084,Hovedstaden,2278,1084
2021-03-13,1085,Sjælland,506,1085
2021-03-14,1081,Nordjylland,12,1081
2021-03-14,1082,Midtjylland,27,1082
2021-03-14,1083,Syddanmark,902,1083
2021-03-14,1084,Hovedstaden,80,1084
2021-03-14,1085,Sjælland,209,1085
2021-03-15,1081,Nordjylland,163,1081
2021-03-15,1082,Midtjylland,996,1082
2021-03-15,1083,Syddanmark,1218,1083
2021-03-15,1084,Hovedstaden,334,1084
2021-03-15,1085,Sjælland,107,1085
2021-03-16,1081,Nordjylland,1292,1081
2021-03-16,1082,Midtjylland,1659,1082
2021-03-16,1083,Syddanmark,1164,1083
2021-03-16,1084,Hovedstaden,893,1084
2021-03-16,1085,Sjælland,1804,1085
2021-03-17,1081,Nordjylland,1424,1081
2021-03-17,1082,Midtjylland,3733,1082
2021-03-17,1083,Syddanmark,2058,1083
2021-03-17,1084,Hovedstaden,1939,1084
2021-03-17,1085,Sjælland,1595,1085
2021-03-18,1081,Nordjylland,1663,1081
2021-03-18,1082,Midtjylland,3487,1082
2021-03-18,1083,Syddanmark,1810,1083
2021-03-18,1084,Hovedstaden,5883,1084
2021-03-18,1085,Sjælland,1835,1085
2021-03-19,1081,Nordjylland,1131,1081
2021-03-19,1082,Midtjylland,1806,1082
2021-03-19,1083,Syddanmark,1568,1083
2021-03-19,1084,Hovedstaden,2980,1084
2021-03-19,1085,Sjælland,355,1085
2021-03-20,1081,Nordjylland,9,1081
2021-03-20,1082,Midtjylland,873,1082
2021-03-20,1083,Syddanmark,912,1083
2021-03-20,1084,Hovedstaden,155,1084
2021-03-20,1085,Sjælland,1014,1085
2021-03-21,1081,Nordjylland,1,1081
2021-03-21,1082,Midtjylland,618,1082
2021-03-21,1083,Syddanmark,746,1083
2021-03-21,1084,Hovedstaden,2278,1084
2021-03-21,1085,Sjælland,1333,1085
2021-03-22,1081,Nordjylland,139,1081
2021-03-22,1082,Midtjylland,2196,1082
2021-03-22,1083,Syddanmark,971,1083
2021-03-22,1084,Hovedstaden,100,1084
2021-03-22,1085,Sjælland,696,1085
2021-03-23,1081,Nordjylland,361,1081
2021-03-23,1082,Midtjylland,977,1082
2021-03-23,1083,Syddanmark,790,1083
2021-03-23,1084,Hovedstaden,2047,1084
