"Første vacc. dato","regionskode_current","Regionsnavn","Antal første vacc.","regionskode_num"
2021-04-26,1082,Midtjylland,10169,1082
2021-04-26,1083,Syddanmark,6305,1083
2021-04-26,1084,Hovedstaden,10435,1084
2021-04-26,1085,Sjælland,3175,1085
2021-04-27,1081,Nordjylland,3695,1081
2021-04-27,1082,Midtjylland,9213,1082
2021-04-27,1083,Syddanmark,7074,1083
2021-04-27,1084,Hovedstaden,4351,1084
2021-04-27,1085,Sjælland,2265,1085
2021-04-28,1081,Nordjylland,1381,1081
2021-04-28,1082,Midtjylland,8211,1082
2021-04-28,1083,Syddanmark,5276,1083
2021-04-28,1084,Hovedstaden,4744,1084
2021-04-28,1085,Sjælland,4533,1085
2021-04-29,1081,Nordjylland,394,1081
2021-04-29,1082,Midtjylland,7963,1082
2021-04-29,1083,Syddanmark,4551,1083
2021-04-29,1084,Hovedstaden,10560,1084
2021-04-29,1085,Sjælland,2473,1085
2021-04-30,1081,Nordjylland,2218,1081
2021-04-30,1082,Midtjylland,2679,1082
2021-04-30,1083,Syddanmark,3541,1083
2021-04-30,1084,Hovedstaden,416,1084
2021-04-30,1085,Sjælland,4583,1085
2021-05-01,1081,Nordjylland,2079,1081
2021-05-01,1082,Midtjylland,275,1082
2021-05-01,1083,Syddanmark,3018,1083
2021-05-01,1084,Hovedstaden,101,1084
2021-05-01,1085,Sjælland,1828,1085
2021-05-02,1081,Nordjylland,2309,1081
2021-05-02,1082,Midtjylland,167,1082
2021-05-02,1083,Syddanmark,3648,1083
2021-05-02,1084,Hovedstaden,8378,1084
2021-05-02,1085,Sjælland,2166,1085
2021-05-03,1081,Nordjylland,319,1081
2021-05-03,1082,Midtjylland,4679,1082
2021-05-03,1083,Syddanmark,4930,1083
2021-05-03,1084,Hovedstaden,10089,1084
2021-05-03,1085,Sjælland,443,1085
2021-05-04,1081,Nordjylland,4791,1081
2021-05-04,1082,Midtjylland,5590,1082
2021-05-04,1083,Syddanmark,6301,1083
2021-05-04,1084,Hovedstaden,7529,1084
2021-05-04,1085,Sjælland,3441,1085
2021-05-05,1081,Nordjylland,2949,1081
2021-05-05,1082,Midtjylland,5117,1082
2021-05-05,1083,Syddanmark,6461,1083
2021-05-05,1084,Hovedstaden,8584,1084
2021-05-05,1085,Sjælland,3718,1085
2021-05-06,1081,Nordjylland,4889,1081
2021-05-06,1082,Midtjylland,7448,1082
2021-05-06,1083,Syddanmark,5453,1083
2021-05-06,1084,Hovedstaden,1031,1084
2021-05-06,1085,Sjælland,2715,1085
2021-05-07,1081,Nordjylland,1920,1081
2021-05-07,1082,Midtjylland,5075,1082
2021-05-07,1083,Syddanmark,5534,1083
2021-05-07,1084,Hovedstaden,1174,1084
2021-05-07,1085,Sjælland,2791,1085
2021-05-08,1081,Nordjylland,2338,1081
2021-05-08,1082,Midtjylland,1123,1082
2021-05-08,1083,Syddanmark,3771,1083
2021-05-08,1084,Hovedstaden,324,1084
2021-05-08,1085,Sjælland,1891,1085
2021-05-09,1081,Nordjylland,988,1081
2021-05-09,1082,Midtjylland,110,1082
2021-05-09,1083,Syddanmark,4612,1083
2021-05-09,1084,Hovedstaden,5635,1084
2021-05-09,1085,Sjælland,4570,1085
2021-05-10,1081,Nordjylland,1339,1081
2021-05-10,1082,Midtjylland,10302,1082
2021-05-10,1083,Syddanmark,2781,1083
2021-05-10,1084,Hovedstaden,5953,1084
2021-05-10,1085,Sjælland,6195,1085
2021-05-11,1081,Nordjylland,940,1081
2021-05-11,1082,Midtjylland,8751,1082
2021-05-11,1083,Syddanmark,5083,1083
2021-05-11,1084,Hovedstaden,10118,1084
2021-05-11,1085,Sjælland,4812,1085
2021-05-12,1081,Nordjylland,1675,1081
2021-05-12,1082,Midtjylland,7894,1082
2021-05-12,1083,Syddanmark,5623,1083
2021-05-12,1084,Hovedstaden,6721,1084
2021-05-12,1085,Sjælland,4246,1085
2021-05-13,1081,Nordjylland,2113,1081
2021-05-13,1082,Midtjylland,1540,1082
2021-05-13,1083,Syddanmark,5048,1083
2021-05-13,1084,Hovedstaden,4724,1084
2021-05-13,1085,Sjælland,6252,1085
2021-05-14,1081,Nordjylland,1247,1081
2021-05-14,1082,Midtjylland,4506,1082
2021-05-14,1083,Syddanmark,3692,1083
2021-05-14,1084,Hovedstaden,6265,1084
2021-05-14,1085,Sjælland,4822,1085
2021-05-15,1081,Nordjylland,15,1081
2021-05-15,1082,Midtjylland,66,1082
2021-05-15,1083,Syddanmark,3323,1083
2021-05-15,1084,Hovedstaden,6487,1084
2021-05-15,1085,Sjælland,5508,1085
2021-05-16,1081,Nordjylland,15,1081
2021-05-16,1082,Midtjylland,79,1082
2021-05-16,1083,Syddanmark,4450,1083
2021-05-16,1084,Hovedstaden,10076,1084
2021-05-16,1085,Sjælland,5352,1085
2021-05-17,1081,Nordjylland,1350,1081
2021-05-17,1082,Midtjylland,6820,1082
2021-05-17,1083,Syddanmark,5703,1083
2021-05-17,1084,Hovedstaden,10931,1084
2021-05-17,1085,Sjælland,6227,1085
2021-05-18,1081,Nordjylland,1928,1081
2021-05-18,1082,Midtjylland,6849,1082
2021-05-18,1083,Syddanmark,4018,1083
2021-05-18,1084,Hovedstaden,10764,1084
2021-05-18,1085,Sjælland,5988,1085
2021-05-19,1081,Nordjylland,569,1081
2021-05-19,1082,Midtjylland,7265,1082
2021-05-19,1083,Syddanmark,6864,1083
2021-05-19,1084,Hovedstaden,11311,1084
2021-05-19,1085,Sjælland,5734,1085
2021-05-20,1081,Nordjylland,1684,1081
2021-05-20,1082,Midtjylland,6868,1082
2021-05-20,1083,Syddanmark,6753,1083
2021-05-20,1084,Hovedstaden,12175,1084
2021-05-20,1085,Sjælland,4962,1085
2021-05-21,1081,Nordjylland,5026,1081
2021-05-21,1082,Midtjylland,8228,1082
2021-05-21,1083,Syddanmark,5978,1083
2021-05-21,1084,Hovedstaden,8554,1084
2021-05-21,1085,Sjælland,7485,1085
2021-05-22,1081,Nordjylland,2672,1081
2021-05-22,1082,Midtjylland,165,1082
2021-05-22,1083,Syddanmark,3359,1083
2021-05-22,1084,Hovedstaden,14024,1084
2021-05-22,1085,Sjælland,5701,1085
2021-05-23,1081,Nordjylland,2750,1081
2021-05-23,1082,Midtjylland,1164,1082
2021-05-23,1083,Syddanmark,4336,1083
2021-05-23,1084,Hovedstaden,8803,1084
2021-05-23,1085,Sjælland,5510,1085
2021-05-24,1081,Nordjylland,1503,1081
2021-05-24,1082,Midtjylland,2239,1082
2021-05-24,1083,Syddanmark,6043,1083
2021-05-24,1084,Hovedstaden,7239,1084
2021-05-24,1085,Sjælland,6374,1085
2021-05-25,1081,Nordjylland,2898,1081
2021-05-25,1082,Midtjylland,13423,1082
2021-05-25,1083,Syddanmark,5966,1083
2021-05-25,1084,Hovedstaden,13923,1084
2021-05-25,1085,Sjælland,7242,1085
2021-05-26,1081,Nordjylland,3713,1081
2021-05-26,1082,Midtjylland,14744,1082
2021-05-26,1083,Syddanmark,6805,1083
2021-05-26,1084,Hovedstaden,15793,1084
2021-05-26,1085,Sjælland,6365,1085
2021-05-27,1081,Nordjylland,1996,1081
2021-05-27,1082,Midtjylland,14814,1082
2021-05-27,1083,Syddanmark,9048,1083
2021-05-27,1084,Hovedstaden,17232,1084
2021-05-27,1085,Sjælland,6219,1085
2021-05-28,1081,Nordjylland,3527,1081
2021-05-28,1082,Midtjylland,11656,1082
2021-05-28,1083,Syddanmark,9252,1083
2021-05-28,1084,Hovedstaden,10402,1084
2021-05-28,1085,Sjælland,6190,1085
2021-05-29,1081,Nordjylland,5425,1081
2021-05-29,1082,Midtjylland,1040,1082
2021-05-29,1083,Syddanmark,7018,1083
2021-05-29,1084,Hovedstaden,10921,1084
2021-05-29,1085,Sjælland,5430,1085
2021-05-30,1081,Nordjylland,6596,1081
2021-05-30,1082,Midtjylland,532,1082
2021-05-30,1083,Syddanmark,6928,1083
2021-05-30,1084,Hovedstaden,7052,1084
2021-05-30,1085,Sjælland,4711,1085
2021-05-31,1081,Nordjylland,3309,1081
2021-05-31,1082,Midtjylland,9710,1082
2021-05-31,1083,Syddanmark,9552,1083
2021-05-31,1084,Hovedstaden,8222,1084
2021-05-31,1085,Sjælland,5333,1085
2021-06-01,1081,Nordjylland,3342,1081
2021-06-01,1082,Midtjylland,12558,1082
2021-06-01,1083,Syddanmark,8590,1083
2021-06-01,1084,Hovedstaden,10395,1084
2021-06-01,1085,Sjælland,4826,1085
2021-06-02,1081,Nordjylland,4399,1081
2021-06-02,1082,Midtjylland,14183,1082
2021-06-02,1083,Syddanmark,8703,1083
2021-06-02,1084,Hovedstaden,9521,1084
2021-06-02,1085,Sjælland,5785,1085
2021-06-03,1081,Nordjylland,3203,1081
2021-06-03,1082,Midtjylland,10985,1082
2021-06-03,1083,Syddanmark,8795,1083
2021-06-03,1084,Hovedstaden,6843,1084
2021-06-03,1085,Sjælland,6396,1085
2021-06-04,1081,Nordjylland,2051,1081
2021-06-04,1082,Midtjylland,8798,1082
2021-06-04,1083,Syddanmark,7783,1083
2021-06-04,1084,Hovedstaden,16059,1084
2021-06-04,1085,Sjælland,6736,1085
2021-06-05,1081,Nordjylland,3909,1081
2021-06-05,1082,Midtjylland,1291,1082
2021-06-05,1083,Syddanmark,7932,1083
2021-06-05,1084,Hovedstaden,15496,1084
2021-06-05,1085,Sjælland,6390,1085
2021-06-06,1081,Nordjylland,5384,1081
2021-06-06,1082,Midtjylland,1091,1082
2021-06-06,1083,Syddanmark,7920,1083
2021-06-06,1084,Hovedstaden,9503,1084
2021-06-06,1085,Sjælland,6078,1085
2021-06-07,1081,Nordjylland,5705,1081
2021-06-07,1082,Midtjylland,15492,1082
2021-06-07,1083,Syddanmark,11433,1083
2021-06-07,1084,Hovedstaden,11859,1084
2021-06-07,1085,Sjælland,9124,1085
2021-06-08,1081,Nordjylland,5043,1081
2021-06-08,1082,Midtjylland,14772,1082
2021-06-08,1083,Syddanmark,10784,1083
2021-06-08,1084,Hovedstaden,16358,1084
2021-06-08,1085,Sjælland,6526,1085
2021-06-09,1081,Nordjylland,4032,1081
2021-06-09,1082,Midtjylland,17640,1082
2021-06-09,1083,Syddanmark,10370,1083
2021-06-09,1084,Hovedstaden,13289,1084
2021-06-09,1085,Sjælland,7467,1085
2021-06-10,1081,Nordjylland,7080,1081
2021-06-10,1082,Midtjylland,13876,1082
2021-06-10,1083,Syddanmark,9830,1083
2021-06-10,1084,Hovedstaden,21274,1084
2021-06-10,1085,Sjælland,6796,1085
2021-06-11,1081,Nordjylland,3984,1081
2021-06-11,1082,Midtjylland,11820,1082
2021-06-11,1083,Syddanmark,8768,1083
2021-06-11,1084,Hovedstaden,18204,1084
2021-06-11,1085,Sjælland,5757,1085
2021-06-12,1081,Nordjylland,4063,1081
2021-06-12,1082,Midtjylland,1353,1082
2021-06-12,1083,Syddanmark,5780,1083
2021-06-12,1084,Hovedstaden,18454,1084
2021-06-12,1085,Sjælland,3972,1085
2021-06-13,1081,Nordjylland,5157,1081
2021-06-13,1082,Midtjylland,1032,1082
2021-06-13,1083,Syddanmark,6020,1083
2021-06-13,1084,Hovedstaden,18693,1084
2021-06-13,1085,Sjælland,2766,1085
2021-06-14,1081,Nordjylland,5890,1081
2021-06-14,1082,Midtjylland,11003,1082
2021-06-14,1083,Syddanmark,10731,1083
2021-06-14,1084,Hovedstaden,17772,1084
2021-06-14,1085,Sjælland,7114,1085
2021-06-15,1081,Nordjylland,5027,1081
2021-06-15,1082,Midtjylland,14125,1082
2021-06-15,1083,Syddanmark,9477,1083
2021-06-15,1084,Hovedstaden,21890,1084
2021-06-15,1085,Sjælland,9877,1085
2021-06-16,1081,Nordjylland,5235,1081
2021-06-16,1082,Midtjylland,14979,1082
2021-06-16,1083,Syddanmark,7876,1083
2021-06-16,1084,Hovedstaden,16157,1084
2021-06-16,1085,Sjælland,7674,1085
2021-06-17,1081,Nordjylland,5004,1081
2021-06-17,1082,Midtjylland,17218,1082
2021-06-17,1083,Syddanmark,8116,1083
2021-06-17,1084,Hovedstaden,16030,1084
2021-06-17,1085,Sjælland,4663,1085
2021-06-18,1081,Nordjylland,3871,1081
2021-06-18,1082,Midtjylland,9096,1082
2021-06-18,1083,Syddanmark,8730,1083
2021-06-18,1084,Hovedstaden,7597,1084
2021-06-18,1085,Sjælland,5590,1085
2021-06-19,1081,Nordjylland,4862,1081
2021-06-19,1082,Midtjylland,1264,1082
2021-06-19,1083,Syddanmark,5453,1083
2021-06-19,1084,Hovedstaden,9495,1084
2021-06-19,1085,Sjælland,2663,1085
2021-06-20,1081,Nordjylland,5192,1081
2021-06-20,1082,Midtjylland,4626,1082
2021-06-20,1083,Syddanmark,5805,1083
2021-06-20,1084,Hovedstaden,10841,1084
2021-06-20,1085,Sjælland,2696,1085
2021-06-21,1081,Nordjylland,6320,1081
2021-06-21,1082,Midtjylland,10579,1082
2021-06-21,1083,Syddanmark,7438,1083
2021-06-21,1084,Hovedstaden,11246,1084
2021-06-21,1085,Sjælland,3811,1085
2021-06-22,1081,Nordjylland,6722,1081
2021-06-22,1082,Midtjylland,12996,1082
2021-06-22,1083,Syddanmark,8587,1083
2021-06-22,1084,Hovedstaden,13205,1084
2021-06-22,1085,Sjælland,4821,1085
2021-06-23,1081,Nordjylland,6349,1081
2021-06-23,1082,Midtjylland,11337,1082
2021-06-23,1083,Syddanmark,7301,1083
2021-06-23,1084,Hovedstaden,8023,1084
2021-06-23,1085,Sjælland,5310,1085
2021-06-24,1081,Nordjylland,2643,1081
2021-06-24,1082,Midtjylland,11957,1082
2021-06-24,1083,Syddanmark,5175,1083
2021-06-24,1084,Hovedstaden,7816,1084
2021-06-24,1085,Sjælland,5640,1085
