"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-05-18,1082,Midtjylland,7815,1082
2021-05-18,1083,Syddanmark,9376,1083
2021-05-18,1084,Hovedstaden,8925,1084
2021-05-18,1085,Sjælland,2608,1085
2021-05-19,1081,Nordjylland,3629,1081
2021-05-19,1082,Midtjylland,6893,1082
2021-05-19,1083,Syddanmark,4840,1083
2021-05-19,1084,Hovedstaden,2734,1084
2021-05-19,1085,Sjælland,4552,1085
2021-05-20,1081,Nordjylland,2185,1081
2021-05-20,1082,Midtjylland,7113,1082
2021-05-20,1083,Syddanmark,5270,1083
2021-05-20,1084,Hovedstaden,5857,1084
2021-05-20,1085,Sjælland,1892,1085
2021-05-21,1081,Nordjylland,1124,1081
2021-05-21,1082,Midtjylland,3195,1082
2021-05-21,1083,Syddanmark,6722,1083
2021-05-21,1084,Hovedstaden,6901,1084
2021-05-21,1085,Sjælland,1315,1085
2021-05-22,1081,Nordjylland,2868,1081
2021-05-22,1082,Midtjylland,112,1082
2021-05-22,1083,Syddanmark,4354,1083
2021-05-22,1084,Hovedstaden,2993,1084
2021-05-22,1085,Sjælland,1562,1085
2021-05-23,1081,Nordjylland,3,1081
2021-05-23,1082,Midtjylland,302,1082
2021-05-23,1083,Syddanmark,3465,1083
2021-05-23,1084,Hovedstaden,1240,1084
2021-05-23,1085,Sjælland,1174,1085
2021-05-24,1081,Nordjylland,3006,1081
2021-05-24,1082,Midtjylland,1168,1082
2021-05-24,1083,Syddanmark,3689,1083
2021-05-24,1084,Hovedstaden,969,1084
2021-05-24,1085,Sjælland,869,1085
2021-05-25,1081,Nordjylland,64,1081
2021-05-25,1082,Midtjylland,3445,1082
2021-05-25,1083,Syddanmark,6276,1083
2021-05-25,1084,Hovedstaden,2254,1084
2021-05-25,1085,Sjælland,816,1085
2021-05-26,1081,Nordjylland,147,1081
2021-05-26,1082,Midtjylland,2984,1082
2021-05-26,1083,Syddanmark,5406,1083
2021-05-26,1084,Hovedstaden,2792,1084
2021-05-26,1085,Sjælland,770,1085
2021-05-27,1081,Nordjylland,1725,1081
2021-05-27,1082,Midtjylland,2577,1082
2021-05-27,1083,Syddanmark,3459,1083
2021-05-27,1084,Hovedstaden,3015,1084
2021-05-27,1085,Sjælland,1596,1085
2021-05-28,1081,Nordjylland,1967,1081
2021-05-28,1082,Midtjylland,1865,1082
2021-05-28,1083,Syddanmark,2768,1083
2021-05-28,1084,Hovedstaden,1615,1084
2021-05-28,1085,Sjælland,1495,1085
2021-05-29,1081,Nordjylland,303,1081
2021-05-29,1082,Midtjylland,84,1082
2021-05-29,1083,Syddanmark,1662,1083
2021-05-29,1084,Hovedstaden,1768,1084
2021-05-29,1085,Sjælland,1383,1085
2021-05-30,1081,Nordjylland,7,1081
2021-05-30,1082,Midtjylland,83,1082
2021-05-30,1083,Syddanmark,1487,1083
2021-05-30,1084,Hovedstaden,4172,1084
2021-05-30,1085,Sjælland,1205,1085
2021-05-31,1081,Nordjylland,156,1081
2021-05-31,1082,Midtjylland,5656,1082
2021-05-31,1083,Syddanmark,2620,1083
2021-05-31,1084,Hovedstaden,8699,1084
2021-05-31,1085,Sjælland,4347,1085
2021-06-01,1081,Nordjylland,314,1081
2021-06-01,1082,Midtjylland,3283,1082
2021-06-01,1083,Syddanmark,4120,1083
2021-06-01,1084,Hovedstaden,6829,1084
2021-06-01,1085,Sjælland,3075,1085
