2020-12-27;6555
2020-12-28;1983
2020-12-29;8992
2020-12-30;11465
2020-12-31;6277
2021-01-01;2364
2021-01-02;8943
2021-01-03;5995
2021-01-04;2427
2021-01-05;13478
2021-01-06;19932
2021-01-07;17591
2021-01-08;8441
2021-01-09;1898
2021-01-10;813
2021-01-11;653
2021-01-12;453
2021-01-13;10910
